TYPE_OF_DAY,TIME_OF_DAY,PROCESS,SUSPICIOUS
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,afternoon,ftpd,NON-ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,early morning,ftpd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,morning,telnetd,NON-ATTACK
WORKING,afternoon,telnetd,NON-ATTACK
WORKING,afternoon,telnetd,NON-ATTACK
WORKING,afternoon,telnetd,NON-ATTACK
WORKING,afternoon,telnetd,NON-ATTACK
WORKING,afternoon,telnetd,NON-ATTACK
WORKING,afternoon,telnetd,NON-ATTACK
WORKING,evening,telnetd,NON-ATTACK
NON_WORKING,morning,rpc,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,afternoon,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,night,ftpd,NON-ATTACK
NON_WORKING,early morning,syslogd,NON-ATTACK
NON_WORKING,early morning,syslogd,NON-ATTACK
NON_WORKING,early morning,syslogd,NON-ATTACK
NON_WORKING,early morning,syslogd,NON-ATTACK
NON_WORKING,early morning,syslogd,NON-ATTACK
WORKING,afternoon,login,NON-ATTACK
WORKING,afternoon,,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,Font,NON-ATTACK
WORKING,afternoon,xfs,NON-ATTACK
WORKING,afternoon,gpm,NON-ATTACK
WORKING,afternoon,httpd,NON-ATTACK
WORKING,afternoon,squid,NON-ATTACK
WORKING,afternoon,squid,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,sshd,NON-ATTACK
WORKING,afternoon,sendmail,NON-ATTACK
WORKING,afternoon,smb,NON-ATTACK
WORKING,afternoon,smb,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,ucd,NON-ATTACK
WORKING,afternoon,snmpd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,atd,NON-ATTACK
WORKING,afternoon,crond,NON-ATTACK
WORKING,afternoon,identd,NON-ATTACK
WORKING,afternoon,autofs,NON-ATTACK
WORKING,afternoon,automount,NON-ATTACK
WORKING,afternoon,apmd,NON-ATTACK
WORKING,afternoon,apmd,NON-ATTACK
WORKING,afternoon,ntpd,NON-ATTACK
WORKING,afternoon,ntpd,NON-ATTACK
WORKING,afternoon,dd,NON-ATTACK
WORKING,afternoon,dd,NON-ATTACK
WORKING,afternoon,random,NON-ATTACK
WORKING,afternoon,rpc,NON-ATTACK
WORKING,afternoon,nfslock,NON-ATTACK
WORKING,afternoon,portmap,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,syslog,NON-ATTACK
WORKING,afternoon,exiting,NON-ATTACK
WORKING,afternoon,syslogd,NON-ATTACK
WORKING,afternoon,syslog,NON-ATTACK
WORKING,afternoon,syslog,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,portmap,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,nfslock,NON-ATTACK
WORKING,afternoon,rpc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,keytable,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,random,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,netfs,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,apmd,NON-ATTACK
WORKING,afternoon,apmd,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,apmd,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,sysctl,NON-ATTACK
WORKING,afternoon,sysctl,NON-ATTACK
WORKING,afternoon,sysctl,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,date,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,fsck,NON-ATTACK
WORKING,afternoon,automount,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,autofs,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,kernel,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,fsck,NON-ATTACK
WORKING,afternoon,atd,NON-ATTACK
WORKING,afternoon,fsck,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,fsck,NON-ATTACK
WORKING,afternoon,sshd,NON-ATTACK
WORKING,afternoon,fsck,NON-ATTACK
WORKING,afternoon,automount,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,init,NON-ATTACK
WORKING,afternoon,kudzu,NON-ATTACK
WORKING,afternoon,kudzu,NON-ATTACK
WORKING,afternoon,sysctl,NON-ATTACK
WORKING,afternoon,sysctl,NON-ATTACK
WORKING,afternoon,sysctl,NON-ATTACK
WORKING,afternoon,network,NON-ATTACK
WORKING,afternoon,network,NON-ATTACK
WORKING,afternoon,sshd,NON-ATTACK
WORKING,afternoon,network,NON-ATTACK
WORKING,afternoon,rc,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,xinetd,NON-ATTACK
WORKING,afternoon,sendmail,NON-ATTACK
WORKING,afternoon,gpm,NON-ATTACK
WORKING,afternoon,crond,NON-ATTACK
WORKING,afternoon,xfs,NON-ATTACK
WORKING,afternoon,xfs,NON-ATTACK
WORKING,afternoon,anacron,NON-ATTACK
WORKING,afternoon,httpd,NON-ATTACK
WORKING,afternoon,squid,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
WORKING,afternoon,named,NON-ATTACK
